Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D63","1N4148W","DIODE_1206_SawnsProjects",307.899000,-96.750000,90.000000,bottom
"D65","1N4148W","DIODE_1206_SawnsProjects",52.387500,-115.800000,90.000000,bottom
"D66","1N4148W","DIODE_1206_SawnsProjects",76.200000,-115.800000,90.000000,bottom
"D67","1N4148W","DIODE_1206_SawnsProjects",100.012500,-115.800000,90.000000,bottom
"D68","1N4148W","DIODE_1206_SawnsProjects",239.395000,-115.800000,90.000000,bottom
"D69","1N4148W","DIODE_1206_SawnsProjects",174.549000,-115.800000,90.000000,bottom
"D70","1N4148W","DIODE_1206_SawnsProjects",292.893750,-115.800000,90.000000,bottom
"D71","1N4148W","DIODE_1206_SawnsProjects",288.849000,-115.800000,90.000000,bottom
"D72","1N4148W","DIODE_1206_SawnsProjects",302.375000,-118.100000,0.000000,bottom
"J1","Daughterboard","JST-SR-4",100.142750,-67.696000,270.000000,bottom
"R1","10k","R_0603",57.800000,-87.481250,0.000000,bottom
"R2","22R","R_0603",53.143750,-69.984375,90.000000,bottom
"R3","22R","R_0603",51.643750,-69.984375,270.000000,bottom
"R4","10k","R_0603",54.768750,-63.103125,0.000000,bottom
"R5","300R","R_0603",40.125000,-46.434375,90.000000,bottom
"RGB1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",44.625000,-46.434375,180.000000,bottom
"RGB2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",79.771875,-46.434375,180.000000,bottom
"RGB3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",113.109375,-46.434375,180.000000,bottom
"RGB4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",144.065625,-46.434375,180.000000,bottom
"RGB5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",177.403125,-46.434375,180.000000,bottom
"RGB6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",208.359375,-46.434375,180.000000,bottom
