Ref,Val,Package,PosX,PosY,Rot,Side
"D1","SMF9.0CA","D_SOD-123_Bidirectional",143.500000,-30.500000,90.000000,top
"F1","ASMD1206-150","Fuse_1206_3216Metric",138.500000,-30.500000,90.000000,top
"J1","Conn_01x04_Male","JST-SR-4",148.500000,-34.500000,0.000000,top
"L1","60R100Mhz","L_1206_3216Metric",141.000000,-30.500000,90.000000,top
"R1","5.1k","R_0603",142.500000,-34.000000,180.000000,top
"R2","5.1k","R_0603",128.200000,-35.000000,0.000000,top
"U1","TPD4E05U06DQAR","USON-10_2.5x1.0mm_P0.5mm",132.000000,-35.000000,90.000000,top
"USB1","HRO-TYPE-C-31-M-12-Type-C","HRO-TYPE-C-31-M-12-Assembly",132.000000,-25.000000,180.000000,top
